"","sig_genes_pval_deseq"
"1160","116923277"
"1161","116922830"
"1162","116922882"
"1163","116922311"
"1164","116924028"
"1165","116923742"
"1166","116922846"
"1167","116923713"
"1168","116923720"
"1169","116923662"
"1170","116922321"
"1171","116922950"
"1172","116922812"
"1173","116922962"
"1174","116922921"
"1175","116922341"
"1176","116923691"
"1177","116922894"
"1178","116924078"
"1179","116923017"
"1180","116922868"
"1181","116922805"
"1182","116923219"
"1183","116923537"
"1184","116923452"
"1185","116923067"
"1186","116923792"
"1187","116924053"
"1188","116922533"
"1189","116922918"
"1190","116923447"
"1191","116923779"
"1192","116924025"
"1193","116923235"
"1194","116923724"
"1195","116923214"
"1196","116922810"
"1197","116924030"
"1198","116923295"
"1199","116922657"
"1200","116923852"
"1201","116922784"
"1202","116922711"
"1203","116923772"
"1204","116923507"
"1205","116923829"
"1206","116923449"
"1207","116922884"
"1208","116923441"
"1209","116923782"
"1210","116923823"
"1211","116922690"
"1212","116923769"
"1213","116924065"
"1214","116924087"
"1215","116922768"
"1216","116923073"
"1217","116923679"
"1218","116922448"
"1219","116922338"
"1220","116923533"
"1221","116923956"
"1222","116922892"
"1223","116923216"
"1224","116923991"
"1225","116922923"
"1226","116922478"
"1227","116923854"
"1228","116923081"
"1229","116923822"
"1230","116923086"
"1231","116922449"
"1232","116923351"
"1233","116922701"
"1234","116922370"
"1235","116922384"
"1236","116922707"
"1237","116922348"
"1238","116922606"
"1239","116923072"
"1240","116923800"
"1241","116922432"
"1242","116923355"
"1243","116922410"
"1244","116925281"
"1245","116925370"
"1246","116925806"
"1247","116924743"
"1248","116924862"
"1249","116925024"
"1250","116925078"
"1251","116924817"
"1252","116924902"
"1253","116924215"
"1254","116924354"
"1255","116925088"
"1256","116925774"
"1257","116924492"
"1258","116924295"
"1259","116924263"
"1260","116925392"
"1261","116925123"
"1262","116924262"
"1263","116924806"
"1264","116925781"
"1265","116925692"
"1266","116924502"
"1267","116925137"
"1268","116925569"
"1269","116925549"
"1270","116925384"
"1271","116924867"
"1272","116925717"
"1273","116924703"
"1274","116925101"
"1275","116924592"
"1276","116925763"
"1277","116925225"
"1278","116925925"
"1279","116924322"
"1280","116925797"
"1281","116924429"
"1282","116925552"
"1283","116925624"
"1284","116924235"
"1285","116925602"
"1286","116924947"
"1287","116925874"
"1288","116925312"
"1289","116925277"
"1290","116925739"
"1291","116925073"
"1292","116924936"
"1293","116924754"
"1294","116925578"
"1295","116924601"
"1296","116925736"
"1297","116925257"
"1298","116924346"
"1299","116925156"
"1300","116925538"
"1301","116925959"
"1302","116924238"
"1303","116924737"
"1304","116924358"
"1305","116924365"
"1306","116925783"
"1307","116924624"
"1308","116924765"
"1309","116924599"
"1310","116925941"
"1311","116925386"
"1312","116925761"
"1313","116925029"
"1314","116924825"
"1315","116924206"
"1316","116924882"
"1317","116925751"
"1318","116925745"
"1319","116925668"
"1320","116925066"
"1321","116925423"
"1322","116925443"
"1323","116924979"
"1324","116925709"
"1325","116925928"
"1326","116924244"
"1327","116924313"
"1328","116925309"
"1329","116924424"
"1330","116925582"
"1331","116925026"
"1332","116925743"
"1333","116925416"
"1334","116925040"
"1335","116924515"
"1336","116925625"
"1337","116925239"
"1338","116925005"
"1339","116925546"
"1340","116925576"
"1341","116924897"
"1342","116924810"
"1343","116925001"
"1344","116924433"
"1345","116924785"
"1346","116925426"
"1347","116925940"
"1348","116925160"
"1349","116925342"
"1350","116924651"
"1351","116924255"
"1352","116924896"
"1353","116925686"
"1354","116925929"
"1355","116925768"
"1356","116924759"
"1357","116925898"
"1358","116925223"
"1359","116925006"
"1360","116924626"
"1361","116925183"
"1362","116925769"
"1363","116924848"
"1364","116925661"
"1365","116924732"
"1366","116924506"
"1367","116924680"
"1368","116924906"
"1369","116924915"
"1370","116924768"
"1371","116925953"
"1372","116925946"
"1373","116924797"
"1374","116925502"
"1375","116925484"
"1376","116925728"
"1377","116925124"
"1378","116924591"
"1379","116924431"
"1380","116925295"
"1381","116925574"
"1382","116925130"
"1383","116925196"
"1384","116924596"
"1385","116925287"
"1386","116925635"
"1387","116924952"
"1388","116924652"
"1389","116925565"
"1390","116924590"
"1391","116925561"
"1392","116925548"
"1393","116924201"
"1394","116925374"
"1395","116925497"
"1396","116925618"
"1397","116925666"
"1398","116924695"
"1399","116925555"
"1400","116924912"
"1401","116924761"
"1402","116925466"
"1403","116925746"
"1404","116925471"
"1405","116925192"
"1406","116925474"
"1407","116924339"
"1408","116925765"
"1409","116924923"
"1410","116925292"
"1411","116924341"
"1412","116925303"
"1413","116924310"
"1414","116925644"
"1415","116924282"
"1416","116925757"
"1417","116925529"
"1418","116925584"
"1419","116925233"
"1420","116925703"
"1421","116925451"
"1422","116925662"
"1423","116924268"
"1424","116925705"
"1425","116924366"
"1426","116925399"
"1427","116925298"
"1428","116925132"
"1429","116925939"
"1430","116925472"
"1431","116925785"
"1432","116924945"
"1433","116925643"
"1434","116925943"
"1435","116924901"
"1436","116928070"
"1437","116926539"
"1438","116926352"
"1439","116927831"
"1440","116926142"
"1441","116927237"
"1442","116926436"
"1443","116926997"
"1444","116927149"
"1445","116928090"
"1446","116927996"
"1447","116927071"
"1448","116926645"
"1449","116927376"
"1450","116926134"
"1451","116926384"
"1452","116926353"
"1453","116926049"
"1454","116926732"
"1455","116928116"
