"gene","CTR:provisioned_egg","TBT:provisioned_egg","cluster","condition","control","estimate"
"116921478",-0.929395880877802,1.48589316170776,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921482",-0.432984944964343,1.29689270172159,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921503",-1.07930054016333,1.83728504124581,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921572",-1.22090864509178,1.25331061928197,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921698",-1.61429663865732,0.8071886649369,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921727",-1.67778121046181,1.25198431270333,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921895",-1.12518963689286,1.25112004521098,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921999",0.147359946584741,1.21990720078696,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922010",-1.89461217038883,1.24462713579475,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922163",-1.70677020032078,1.05977194589428,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922177",-1.16282127007147,1.4616140488776,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922183",-1.02017888416529,1.46845762697232,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922329",-2.31823635763166,0.771381569038729,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922474",-1.79444741682729,0.982168173398802,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922478",-1.59006775602279,1.43358170630562,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922778",-0.964589664286526,-0.0622569608451916,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922788",-1.46978290948566,1.2235581699756,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922810",-1.44729728014945,0.869678693393907,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922829",-0.208021888872592,1.5158885732645,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922924",-2.55239500789821,0.730223081554547,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922943",-0.542834510902295,0.883571531954907,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922950",-0.913615799444855,0.550116786195334,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
